ISO 639-3,Language,Filename,WALS 116A,GB 107,WALS 81A,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,RAG,CoT,Question,Result
cui,Cuiba,berg1973cuiva,Not mentioned in the grammar,1,SOV,The Cuiva language grammar,Guahiban,,Guahiban,South America,"Berg, Marie and Kerr, Isabel",1973,112,1,0,clause-initial question particle,1
apu,Apurinã,facundes2000language,Interrogative intonation only,1,SVO,The Language of the Apurinã People of Brazil (Maipure/Arawak),Arawakan,,Purus,South America,"Facundes, Sidney da Silva",2000,705,1,0,clause-initial question particle,1
kbc,Kadiwéu,sandalo1995grammar,Not mentioned in the grammar,1,No dominant order,A Grammar of Kadiweu,Guaicuruan,,Kadiwéu,South America,"Sandalo, Maria Filomena",1995,291,1,0,clause-initial question particle,1
kpj,Karajá,ribeiro2012grammar,Second position question particle,1,SOV,A grammar of Karajá,Macro-Ge,,Karajá,South America,"Ribeiro, Eduardo Rivail",2012,301,1,0,clause-initial question particle,1
spp,Supyire,carlson1994grammar,Clause-initial question particle,1,SOV,A Grammar of Supyire,Niger-Congo,,Senufo,Africa,"Carlson, Robert",1990,1048,1,0,clause-final question particle,0
djm,Jamsay,heath2008grammar,Clause-final question particle,1,SOV,A grammar of Jamsay,Dogon,,Dogon,Africa,"Heath, Jeffrey",2008,755,1,0,clause-final question particle,1
mhi,Ma'di,blackings2003grammar,Tone,0,No dominant order,A Grammar of Ma'di,Central Sudanic,,Moru-Ma'di,Africa,"Blackings, Mairi and Fabb, Nigel",2003,750,1,0,clause-final question particle,0
dba,Bangime,hantgan2013aspects,Clause-final question particle,1,No dominant order,"Aspects of Bangime Phonology, Morphology, and Morphosyntax",Bangime,,Bangime,Africa,"Hantgan, Abbie",2013,550,1,0,clause-final question particle,0
guk,Gumuz,ahland2012grammar,"Clause-final question particle, Interrogative intonation only",1,SVO,A grammar of Northern and Southern Gumuz,Gumuz,,Gumuz,Africa,"Ahland, Colleen Anne",2012,506,1,0,clause-final question particle,1
khq,Koyra Chiini,heath1999grammar,"Clause-initial question particle, Interrogative intonation only",0,SVO,A Grammar of Koyra Chiini: The Songhay of Timbuktu,Songhay,,Songhay,Africa,"Heath, Jeffrey",1999,467,1,0,clause-final question particle,0
sif,Seme,toews2015topics,Clause-final question particle,0,SOV,Topics in Siamou tense and aspect,Siamou,,Siamou,Africa,"Toews, Carmela I. P.",2015,432,1,0,clause-final question particle,1
tms,Tima,mubarak2009tima,Not mentioned in the grammar,1,SVO,Tima Word Structure (Noun and Verb),Kordofanian,,Katla-Tima,Africa,"Alamin Mubarak, Suzan",2009,344,1,0,clause-final question particle,0
knw,!Xun (Ekoka),heine2015xun,"Clause-final question particle, Second position question particle",1,SVO,The !Xun Language: A Dialect Grammar of Northern Khoisan,Kxa,,Ju-Kung,Africa,"Heine, Bernd and König, Christa",2015,342,1,0,clause-final question particle,1
xtc,Katcha,turner2016morphosyntax,Not mentioned in the grammar,0,No dominant order,Morphosyntax of Katcha nominals: a Dynamic Syntax account,Kadu,,Kadugli,Africa,"Turner, Darryl John",2016,289,1,0,clause-final question particle,1
ijc,Ijo (Kolokuma),williamson1965grammar,Tone,1,SOV,A Grammar of the Kolokuma Dialect of Ịjọ,Ijoid,,Ijoid,Africa,"Williamson, Kay",1965,134,1,0,clause-final question particle,1
ema,Emai,schaefer2017grammar,Interrogative intonation only,1,SVO,A grammar of Emai,Niger-Congo,Benue-Congo,Edoid,Africa,"Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis",2017,1019,1,0,clause-final question particle,1
ikx,Ik,schrock2014grammar,"Interrogative verb morphology, Tone",1,VSO,A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language,Eastern Sudanic,,Kuliak,Africa,"Schrock, Terrill",2014,747,1,0,clause-final question particle,1
niy,Ngiti,kutsch1994ngiti,"Clause-initial question particle, Second position question particle, Tone",0,No dominant order,Ngiti: A Central-Sudanic Language of Zaire,Central Sudanic,,Lendu,Africa,"Kutsch Lojenga, Constance",1994,531,1,0,clause-final question particle,0
sid,Sidaama,kawachi2007grammar,Interrogative intonation only,1,SOV,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,Afro-Asiatic,Cushitic,Highland East Cushitic,Africa,"Kawachi, Kazuhiro",2007,842,1,0,clause-final question particle,1
muz,Mursi,worku2020grammar,Interrogative intonation only,1,SVO,"A grammar of Mursi, a Nilo-Saharan language",Eastern Sudanic,Surmic,South Surmic,Africa,"Worku, Firew Girma",2020,689,1,0,clause-final question particle,0
mpe,Majang,joswig2019majang,"Clause-final question particle, Clause-medial question particle, Tone",1,VSO,The Majang Language,Eastern Sudanic,Surmic,Majang,Africa,"Joswig, Andreas",2019,542,1,0,clause-final question particle,1
bvq,Birri,santandrea1966birri,Not mentioned in the grammar,0,Not mentioned in the grammar,The Birri Language: Brief Elementary Notes,Central Sudanic,,Birri,Africa,"Santandrea, Stefano",1966,154,1,0,clause-final question particle,0
taq,Tamashek,heath2005grammar,"Clause-initial question particle, Interrogative intonation only",1,VSO,A grammar of Tamashek (Tuareg of Mali),Afro-Asiatic,,Berber,Africa,"Heath, Jeffrey",2005,763,1,0,clause-final question particle,0
cop,Coptic,reintges2018coptic,"Clause-initial question particle, Interrogative intonation only",1,SVO,Coptic Egyptian (Sahidic Dialect): A Learner's Grammar,Afro-Asiatic,,Egyptian-Coptic,Africa,"Reintges, C. H.",2018,646,1,0,clause-final question particle,1
ibo,Igbo,emenanjo2015grammar,Tone,1,SVO,A Grammar of Contemporary Igbo,Niger-Congo,Benue-Congo,Igboid,Africa,"Emenanjo, Nolue Emmanuel",2015,672,1,0,clause-final question particle,0
mcs,Mambai,anonby2008phonology,Clause-final question particle,0,SVO,"Phonology and Morphology of Mambay (Niger-Congo, Adamawa)",Niger-Congo,Adamawa-Ubangi,Mbumic,Africa,"Anonby, Erik John",2008,592,1,0,clause-final question particle,1
tbi,Ingessana,stirtz2012lot,Clause-final question particle,0,SVO,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan",Eastern Sudanic,,Eastern Jebel,Africa,"Stirtz, Timothy",2012,350,1,0,clause-final question particle,1
gow,Gorowa,harvey2018gorwaa,Clause-initial question particle,1,SOV,The Gorwaa noun: Toward a description of the Gorwaa language,Afro-Asiatic,Cushitic,Southern Cushitic,Africa,"Harvey, Andrew",2018,564,1,0,clause-final question particle,1
shj,Shatt,alfira2016caning,Not mentioned in the grammar,0,Not mentioned in the grammar,Caning Grammar Book,Eastern Sudanic,,Daju,Africa,"Alfira, David Abbi and Kafi, Timothy Kuku and Kaki, Hassan Kuwa and Hasan, Ali Alaliim and Anjo, Anjo Kuku and Jas, Dayan Kuku and Sarukh, Sadik Kafi",2016,270,1,0,clause-final question particle,1
kfz,Koromfe,rennison1997koromfe,Clause-final question particle,1,SVO,Koromfe,Niger-Congo,Gur,Koromfe,Africa,"Rennison, John R.",1997,575,1,0,clause-final question particle,1
fia,Nobiin,bechhaus2011hi,Interrogative verb morphology,1,SOV,The (Hi)story of Nobiin - 1000 years of language change,Eastern Sudanic,,Nubian,Africa,"Bechhaus-Gerst, Marianne",2011,252,1,0,clause-final question particle,0
nyi,Nyimang,stevenson1938grammar,Not mentioned in the grammar,0,Not mentioned in the grammar,A grammar of the Nyimang language (Nuba Mountains),Eastern Sudanic,,Nyimang,Africa,"Stevenson, Roland C.",1938,195,1,0,clause-final question particle,1
lme,Lamé,shay2019grammar,Clause-final question particle,0,SVO,A Grammar of Pévé,Afro-Asiatic,Chadic,Masa,Africa,"Shay, Erin",2019,383,1,0,clause-final question particle,1
gup,Bininj Gun-Wok,evans2003bininj,"Clause-initial question particle, Interrogative intonation only",0,No dominant order,"Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune",Gunwinyguan,,Marne,Australia,"Evans, Nicholas",2003,775,1,0,clause-final question particle,1
wmb,Wambaya,nordlinger1998grammar,"Interrogative intonation only, Interrogative verb morphology, Second position question particle",0,No dominant order,A Grammar of Wambaya,Mirndi,,Wambayan,Australia,"Nordlinger, Rachel",1993,684,1,0,clause-final question particle,1
wrr,Wardaman,merlan1994grammar,Not mentioned in the grammar,0,No dominant order,A Grammar of Wardaman: A Language of the Northern territory of Australia,Yangmanic,Gunwinyguan,Yangmanic,Australia,"Merlan, Francesca C.",1994,633,1,0,clause-final question particle,0
gni,Gooniyandi,mcgregor1990functional,No interrogative-declarative distinction,0,No dominant order,A Functional Grammar of Gooniyandi,Bunuban,,Bunuban,Australia,"McGregor, William",1990,618,1,0,clause-final question particle,0
tiw,Tiwi,lee1987tiwi,"Clause-final question particle, Interrogative intonation only",0,SVO,Tiwi Today: a study of language change in a contact situation,Tiwian,,Tiwian,Australia,"Lee, Jennifer R.",1983,605,1,0,clause-final question particle,1
nck,Nakkara,eather1990grammar,Not mentioned in the grammar,1,Not mentioned in the grammar,A Grammar of Nakkara (Central Arnhem Land Coast),Mangrida,,Nakkara,Australia,"Eather, Bronwyn",1990,514,1,0,clause-final question particle,1
wrk,Garrwa,mushin2012grammar,"Interrogative intonation only, Second position question particle",0,No dominant order,A grammar of (Western) Garrwa,Garrwan,,Garrwan,Australia,"Mushin, Ilana",2012,491,1,0,clause-final question particle,1
nam,Ngankikurungkurr,reid2011ngan,Not mentioned in the grammar,0,No dominant order,"Ngan'gityemerri: A Language of the Daly River Region, Northern territory of Australia",Southern Daly,,Ngankikurungkurr,Australia,"Reid, Nicholas J.",1990,482,1,0,clause-final question particle,1
waq,Wagiman,cook1987wagiman,Not mentioned in the grammar,0,No dominant order,Wagiman matyin: a description of the wagiman language of the Northern Territory,Wagiman,,Wagiman,Australia,"Cook, Anthony R.",1987,389,1,0,clause-final question particle,0
aii,Neo-Aramaic (Assyrian),khan2008neo,"Clause-initial question particle, Interrogative verb morphology",1,SOV,The Neo-Aramaic Dialect of Barwar,Afro-Asiatic,,Semitic,Eurasia,"Khan, Geoffrey",2008,2236,1,0,clause-final question particle,1
eng,English,huddleston2005cambridge,"Interrogative intonation only, Interrogative word order",1,SVO,The Cambridge grammar of the English language,Indo-European,,Germanic,Eurasia,"Huddleston, Rodney D. and Pullum, Geoffrey K.",2002,1859,1,0,clause-final question particle,1
kor,Korean,martin1992reference,Clause-final question particle,1,SOV,A Reference Grammar of Korean: A Complete Guide to the Grammar and History of the Korean Language,Korean,,Korean,Eurasia,"Martin, Samuel E.",1992,1042,1,0,clause-final question particle,1
eus,Basque,hualde2003grammar,Interrogative intonation only,0,SOV,A Grammar of Basque,Basque,,Basque,Eurasia,"Hualde, José I. and de Urbina, Jon Ortiz",2003,976,1,0,clause-final question particle,0
mal,Malayalam,syamala1981intensive,Interrogative verb morphology,1,Not mentioned in the grammar,An intensive course in Malayalam,Dravidian,,Dravidian,Eurasia,"Kumari, B. Syamala",1981,933,1,0,clause-final question particle,0
ium,Iu Mien,arisawa2016iu,Clause-final question particle,0,No dominant order,An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation,Hmong-Mien,,Mienic,Eurasia,"Arisawa, Tatsuro Daniel",2016,924,1,0,clause-final question particle,1
sza,Semelai,kruspe2004grammar,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle, Interrogative intonation only",0,No dominant order,Semelai,Austro-Asiatic,Mon-Khmer,Aslian,Eurasia,"Kruspe, Nicole D.",1999,755,1,0,clause-final question particle,1
yux,Yukaghir (Kolyma),maslova2003grammar,Interrogative intonation only,1,SOV,A grammar of Kolyma Yukaghir,Yukaghir,,Yukaghir,Eurasia,"Maslova, Elena",1999,726,1,0,clause-final question particle,1
kat,Georgian,hewitt1995georgian,Interrogative intonation only,0,No dominant order,Georgian: A Structural Reference Grammar,Kartvelian,,Kartvelian,Eurasia,"Hewitt, George B.",1995,726,1,0,clause-final question particle,1
alr,Alutor,kibrik2004language,Not mentioned in the grammar,1,No dominant order,Language and folklore of the Alutor people,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,Eurasia,"Kibrik, Aleksandr E. and Kodzasov, Sandro V. and Muravyova, Irina A.",2004,687,1,0,clause-final question particle,1
tha,Thai,campbell1957fundamentals,Clause-final question particle,0,SVO,The fundamentals of the Thai language,Tai-Kadai,,Kam-Tai,Eurasia,"Campbell, Stuart and Shaweevongse, Chaun",1957,632,1,0,clause-final question particle,1
nio,Nganasan,wagner2018grammar,"Interrogative intonation only, Interrogative verb morphology",0,SOV,A grammar of Nganasan,Uralic,,Samoyedic,Eurasia,"Wagner-Nagy, Beáta Boglárka",2019,602,1,0,clause-final question particle,1
niv,Nivkh (South Sakhalin),vajda2006mattissen,Clause-final question particle,1,SOV,Dependent-Head Synthesis in Nivkh: A contribution to a typology of polysynthesis,Nivkh,,Nivkh,Eurasia,"Mattissen, Johanna",2003,360,1,0,clause-final question particle,1
anq,Jarawa (in Andamans),kumar2012descriptive,Clause-initial question particle,1,SOV,Descriptive and typological study of Jarawa,South Andamanese,,South Andamanese,Eurasia,"Kumar, Pramod",2012,357,1,0,clause-final question particle,1
nll,Nahali,nagaraja2014nihali,Not mentioned in the grammar,1,SOV,"The Nihali Language (Grammar, Texts, Vocabulary)",Nahali,,Nahali,Eurasia,"Nagaraja, K. S.",2014,344,1,0,clause-final question particle,1
kgg,Kusunda,watters2006notes,Not mentioned in the grammar,1,SOV,Notes on Kusunda Grammar: A Language Isolate of Nepal,Kusunda,,Kusunda,Eurasia,"Watters, David E.",2006,182,1,0,clause-final question particle,1
ude,Udihe,nikolaeva2001grammar,Interrogative intonation only,0,SOV,A Grammar of Udihe,Altaic,,Tungusic,Eurasia,"Nikolaeva, Irina and Tolskaya, Maria",2001,1002,1,0,clause-final question particle,1
inh,Ingush,nichols2011ingush,Interrogative verb morphology,1,No dominant order,Ingush Grammar,Nakh-Daghestanian,,Nakh,Eurasia,"Nichols, Johanna",2011,824,1,0,clause-final question particle,0
lez,Lezgian,haspelmath1993grammar,"Clause-initial question particle, Interrogative verb morphology",1,SOV,A Grammar of Lezgian,Nakh-Daghestanian,Daghestanian,Lezgic,Eurasia,"Haspelmath, Martin",1993,587,1,0,clause-final question particle,0
adl,Galo,post2007grammar,"Clause-final question particle, Clause-medial question particle",1,SOV,A Grammar of Galo,Sino-Tibetan,Tibeto-Burman,Tani,Eurasia,"Post, Mark",2007,947,1,0,clause-final question particle,1
esu,Yup'ik (Norton Sound),miyaoka2012grammar,"Interrogative intonation only, Second position question particle",1,SOV,A grammar of Central Alaskan Yupik: An Eskimo Language,Eskimo-Aleut,,Eskimo,North America,"Miyaoka, Osahito",2012,1709,1,0,clause-final question particle,0
yuk,Yuki,balodis2011yuki,Interrogative verb morphology,1,No dominant order,Yuki Grammar in its Areal Context with sketches of Huchnom and Coast Yuki,Wappo-Yukian,,Yuki,North America,"Balodis, Uldis Ivars Jānis",2011,1053,1,0,clause-final question particle,0
ppl,Pipil,campbell1985pipil,Interrogative intonation only,0,No dominant order,The Pipil Language of El Salvador,Uto-Aztecan,,Aztecan,North America,"Campbell, Lyle",1985,971,1,0,clause-final question particle,1
mic,Micmac,fidelholtz1968micmac,Not mentioned in the grammar,1,VOS,Micmac morphophonemics,Algic,,Algonquian,North America,"Fidelholtz, James L.",1968,808,1,0,clause-final question particle,1
tee,Tepehua (Huehuetla),kung2007descriptive,"Clause-initial question particle, Interrogative intonation only",0,No dominant order,A Descriptive Grammar of Huehuetla Tepehua,Totonacan,,Totonacan,North America,"Kung, Susan Smythe",2007,750,1,0,clause-final question particle,1
hur,Musqueam,galloway1977grammar,"Clause-medial question particle, Interrogative verb morphology",0,VSO,A Grammar of Chilliwack Halkomelem,Salishan,,Central Salish,North America,"Galloway, Brent Douglas",1977,722,1,0,clause-final question particle,1
oma,Omaha,awakuni2018omaha,Clause-final question particle,1,SOV,The Omaha Language and the Omaha Way: An Introduction to Omaha Language and Culture,Siouan,,Mississippi Valley Siouan,North America,"Awakuni-Swetland, Mark and Canby, Alberta Grant and Sanchez, Emmaline Walker and Larson, Rory and Walker, Arlene and Black, Delores and Krug, Aubrey Streit and Frerichs, Loren H.",2018,707,1,0,clause-final question particle,1
was,Washo,jacobsen1964grammar,Interrogative verb morphology,1,SOV,A Grammar of the Washo Language,Washo,,Washo,North America,"Jacobsen and Jr. and H., William",1964,701,1,0,clause-final question particle,1
cku,Koasati,kimball1991koasati,Interrogative verb morphology,1,SOV,Koasati Grammar,Muskogean,,Muskogean,North America,"Kimball, Geoffrey D.",1991,666,1,0,clause-final question particle,1
boi,Chumash (Barbareño),wash2001adverbial,Not mentioned in the grammar,1,VOS,Adverbial Clauses in Barbareño Chumash Narrative Discourse,Chumash,,Chumash,North America,"Wash, Suzanne Maria",2001,591,1,0,clause-final question particle,1
yuc,Yuchi,linn2001grammar,"Clause-initial question particle, Interrogative intonation only, Second position question particle",1,SOV,A grammar of Euchee (Yuchi),Yuchi,,Yuchi,North America,"Linn, Mary Sarah",2001,564,1,0,clause-final question particle,0
aes,Alsea,frachtenberg1918alsea,Interrogative verb morphology,0,Not mentioned in the grammar,Alsea Grammar,Oregon Coast,,Alsea,North America,"Frachtenberg, Leo Joachim",1918,431,1,0,clause-final question particle,1
ari,Arikara,parks1979introduction,Interrogative verb morphology,1,No dominant order,An introduction to the Arikara language,Caddoan,,Northern Caddoan,North America,"Parks, Douglas and Beltran, Janet and Waters, Ella",1979,422,1,0,clause-final question particle,1
tkm,Takelma,sapir1912takelma,Second position question particle,0,Not mentioned in the grammar,The Takelma Language of Southwestern Oregon,Takelma,,Takelma,North America,"Sapir, Edward",1909,304,1,0,clause-final question particle,0
tow,Jemez,yumitani1998phonology,Second position question particle,1,Not mentioned in the grammar,A Phonology and Morphology of Jemez Towa,Kiowa-Tanoan,,Kiowa-Tanoan,North America,"Yumitani, Yukihiro",1998,298,1,0,clause-final question particle,0
zun,Zuni,nichols1997topics,Not mentioned in the grammar,1,SOV,Topics in Zuni Syntax,Zuni,,Zuni,North America,"Nichols, Lynn",1997,289,1,0,clause-final question particle,1
rma,Rama,grinevald1990grammar,Not mentioned in the grammar,1,SOV,A Grammar of Rama,Chibchan,,Rama,North America,"Grinevald, Colette G.",no date,284,1,0,clause-final question particle,1
tqw,Tonkawa,hoijer1933tonkawa,Interrogative verb morphology,1,SOV,Tonkawa,Tonkawa,,Tonkawa,North America,"Hoijer, Harry",1933-1938,148,1,0,clause-final question particle,1
tun,Tunica,haas1940tunica,Interrogative verb morphology,1,SOV,Tunica,Tunica,,Tunica,North America,"Haas, Mary R.",1941,143,1,0,clause-final question particle,0
wao,Wappo,radin1929grammar,Not mentioned in the grammar,1,Not mentioned in the grammar,A Grammar of the Wappo Language,Wappo-Yukian,,Wappo,North America,"Radin, Paul",1929,202,1,0,clause-final question particle,0
ute,Ute,sapir1992southern,Clause-medial question particle,1,Not mentioned in the grammar,Southern Paiute and Ute Linguistics and Ethnography,Uto-Aztecan,,Northern Uto-Aztecan,North America,"Sapir, Edward",1992 [1930],932,1,0,clause-final question particle,0
yur,Yurok,garrett2014basic,"Clause-final question particle, Clause-medial question particle, Second position question particle",0,No dominant order,Basic Yurok grammar,Algic,,Yurok,North America,"Garrett, Andrew",2014,341,1,0,clause-final question particle,1
nuk,Nuuchahnulth,davidson2002studies,Interrogative verb morphology,1,No dominant order,Studies in Wakashan (Nootkan) Grammar,Wakashan,,Southern Wakashan,North America,"Davidson, Matthew",2002,488,1,0,clause-final question particle,1
col,Columbia-Wenatchi,willett2003grammatical,"Clause-final question particle, Clause-initial question particle",0,VOS,A Grammatical Sketch of Nxa'amxcin (Moses-Columbia Salish),Salishan,,Interior Salish,North America,"Willett, Marie Louise",2003,476,1,0,clause-final question particle,0
hid,Hidatsa,park2012grammar,Interrogative verb morphology,1,SOV,A grammar of Hidatsa,Siouan,,Missouri River Siouan,North America,"Park, Indrek",2012,580,1,0,clause-final question particle,1
mlu,Toqabaqita,lichtenberk2008grammar,Interrogative intonation only,0,SVO,A grammar of Toqabaqita,Austronesian,Eastern Malayo-Polynesian,Oceanic,Papunesia,"Lichtenberk, Frantisek",2008,1408,1,0,clause-final question particle,1
ahh,Aghu,van2016aghu,Clause-final question particle,1,SOV,Aghu: annotated texts with grammatical introduction and vocabulary lists,Trans-New Guinea,Awyu-Ok,Awju,Papunesia,"van den Heuvel, Wilco",2016,859,1,0,clause-final question particle,1
mle,Manambu,aikhenvald2008manambu,Interrogative intonation only,1,SOV,"The Manambu language of East Sepik, Papua New Guinea",Sepik,,Ndu,Papunesia,"Aikhenvald, Alexandra Y.",2008,727,1,0,clause-final question particle,1
fqs,Momu,honeyman2016grammar,Clause-final question particle,1,SOV,"A grammar of Momu, a language of Papua New Guinea",Baibai-Fas,,Baibai-Fas,Papunesia,"Honeyman, Thomas",2017,700,1,0,clause-final question particle,1
mkz,Makasae,huber2011grammar,"Clause-final question particle, Interrogative intonation only",0,SOV,A grammar of Makalero: A Papuan language of East Timor,Greater West Bomberai,Timor-Alor-Pantar,East Timor,Papunesia,"Huber, Juliette",2011,700,1,0,clause-final question particle,1
siw,Motuna,onishi1994grammar,Interrogative intonation only,0,No dominant order,"A Grammar of Motuna (Bougainville, Papua New Guinea)",South Bougainville,,South Bougainville,Papunesia,"Onishi, Masayuki",2011,593,1,0,clause-final question particle,0
lvk,Lavukaleve,terrill1999grammar,"Clause-final question particle, Clause-medial question particle",1,SOV,A Grammar of Lavukaleve,Solomons East Papuan,,Lavukaleve,Papunesia,"Terrill, Angela",2003,585,1,0,clause-final question particle,0
kbv,Dla (Menggwa),de2006menggwa,"Clause-final question particle, Interrogative intonation only",1,No dominant order,The Menggwa Dla language of New Guinea,Senagi,,Senagi,Papunesia,"de Sousa, Hilário",2006,569,1,0,clause-final question particle,0
duc,Duna,san2008introduction,Not mentioned in the grammar,1,SOV,An introduction to Duna grammar,Duna-Bogaya,,Duna,Papunesia,"San Roque, Lila",2008,528,1,0,clause-final question particle,0
tuh,Taulil,meng2018grammar,Interrogative intonation only,0,SVO,A grammar of Tulil,Taulil,,Taulil,Papunesia,"Meng, Chenxi",2018,516,1,0,clause-final question particle,1
gpn,Taiap,kulick2019grammar,"Clause-final question particle, Clause-medial question particle",0,SOV,A Grammar and Dictionary of Tayap: The Life and Death of a Papuan Language,Taiap,,Taiap,Papunesia,"Kulick, Don and Terrill, Angela",2019,516,1,0,clause-final question particle,1
yee,Yimas,foley1991yimas,"Clause-final question particle, Interrogative intonation only",1,No dominant order,The Yimas Language of New Guinea,Ramu-Lower Sepik,,Lower Sepik,Papunesia,"Foley, William A.",1991,506,1,0,clause-final question particle,1
kcd,Kanum (Ngkâlmpw),carroll2016ngkolmpu,Not mentioned in the grammar,0,No dominant order,The Ngkolmpu Language with special reference to distributed exponence,Yam,,Kanum,Papunesia,"Carroll, Matthew",2017,428,1,0,clause-final question particle,1
ayz,Maybrat,dol2007grammar,Clause-final question particle,0,SVO,"A Grammar of Maybrat: a language of Bird's Head, Irian Jaya, Indonesia",Maybrat,,Maybrat,Papunesia,"Dol, Philomena Hedwig",1999,405,1,0,clause-final question particle,1
cns,Asmat,voorhoeve1965flamingo,Clause-final question particle,0,Not mentioned in the grammar,The Flamingo Bay Dialect of the Asmat Language,Asmat-Kamrau Bay,,Asmat-Kamrau Bay,Papunesia,"Voorhoeve, Clemens L.",1965,367,1,0,clause-final question particle,0
kto,Kuot,lindstrom2002topics,Interrogative intonation only,0,VSO,Topics in the Grammar of Kuot,Kuot,,Kuot,Papunesia,"Lindström, Eva",2002,264,1,0,clause-final question particle,0
imn,Imonda,seiler1985imonda,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle",1,No dominant order,"Imonda, a Papuan Language",Border,,Border,Papunesia,"Seiler, Walter",1985,262,1,0,clause-final question particle,1
nir,Nimboran,anceaux1965nimboran,Not mentioned in the grammar,0,Not mentioned in the grammar,The Nimboran Language,Nimboran,,Nimboran,Papunesia,"Anceaux, Johannes Cornelis",1965,257,1,0,clause-final question particle,1
kgr,Abun,berry1999description,"Clause-final question particle, Clause-initial question particle",0,SVO,A description of Abun: a West Papuan language of Irian Jaya,Abun,,Abun,Papunesia,"Berry, Keith and Berry, Christine",1999,248,1,0,clause-final question particle,1
ulk,Meryam Mir,piper1989sketch,Interrogative intonation only,0,SOV,A Sketch Grammar of Meryam Mer,Eastern Trans-Fly,,Eastern Trans-Fly,Papunesia,"Piper, Nick",2013 [1989],240,1,0,clause-final question particle,1
had,Hatam,reesink1999grammar,"Clause-final question particle, Interrogative intonation only",0,SVO,A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,Hatim-Mansim,,Hatim-Mansim,Papunesia,"Reesink, Ger P.",1999,230,1,0,clause-final question particle,1
kwo,Kwomtari,honsberger2008kwomtari,"Clause-final question particle, Clause-medial question particle",1,SOV,Kwomtari Phonology and Grammar Essentials,Kwomtari,,Kwomtari,Papunesia,"Honsberger, Murray and Honsberger, Carol and Tupper, Ian",2008,197,1,0,clause-final question particle,1
szp,Inanwatan,de2004short,"Clause-final question particle, Interrogative intonation only",1,No dominant order,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",South Bird's Head,,Inanwatan,Papunesia,"de Vries, Lourens J.",2004,168,1,0,clause-final question particle,1
tmu,Iau,bateman2003grammatical,"Clause-final question particle, Tone",0,No dominant order,Grammatical Overview of Iau Revision 3,Lakes Plain,,Central Tariku,Papunesia,"Bateman, Janet",2021,136,1,0,clause-final question particle,1
yuj,Karkar-Yuri,rigden1978karkar,Not mentioned in the grammar,1,SOV,Karkar Grammar Essentials,Pauwasi,,Eastern Pauwasi,Papunesia,"Rigden, Veda",no date,132,1,0,clause-final question particle,0
yle,Yelî Dnye,henderson1995phonology,Interrogative intonation only,1,SOV,"Phonology and Grammar of Yele, Papua New Guinea",Yele,,Yele,Papunesia,"Henderson, James",1995,118,1,0,clause-final question particle,0
set,Sentani,mayer2021grammar,Interrogative intonation only,1,SOV,A grammar sketch of Sentani,Sentanic,,Sentanic,Papunesia,"Mayer, Clemens J.",2021,105,1,0,clause-final question particle,0
akc,Mpur,ode2002sketch,Clause-final question particle,0,SVO,A Sketch of Mpur,Mpur,,Mpur,Papunesia,"Odé, Cecilia",2002,63,1,0,clause-final question particle,1
nux,Mehek,hatfield2016grammar,Clause-final question particle,0,SOV,A grammar of Mehek,Sepik,,Tama Sepik,Papunesia,"Hatfield, Adam",2016,644,1,0,clause-final question particle,1
abz,Abui,kratochvil2007grammar,Not mentioned in the grammar,0,SOV,A Grammar of Abui: A Papuan Language of Alor,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,Papunesia,"Kratochvíl, František",2007,560,1,0,clause-final question particle,1
aah,Arapesh (Abu),nekitel1985sociolinguistic,"Clause-final question particle, Interrogative intonation only",0,SVO,"Sociolinguistic Aspects of Abu', a Papuan Language of the Sepik Area, Papua New Guinea",Torricelli,,Kombio-Arapesh,Papunesia,"Nekitel, Otto",1985,314,1,0,clause-final question particle,1
kpr,Korafe,farr1999interface,"Clause-final question particle, Interrogative intonation only",1,SOV,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,Trans-New Guinea,Greater Binanderean,Binanderean,Papunesia,"Farr, Cynthia J. M.",1996,671,1,0,clause-final question particle,1
amp,Alamblak,bruce1979grammar,Interrogative intonation only,1,SOV,A Grammar of Alamblak (Papua New Guinea),Sepik,,Sepik Hill,Papunesia,"Bruce and Jr. and P., Leslie",1979,572,1,0,clause-final question particle,1
ksi,I'saka,donohue2004saka,Not mentioned in the grammar,0,SOV,I'saka: a sketch grammar of a language of north-central New Guinea,Skou,,Krisa,Papunesia,"Donohue, Mark and San Roque, Lila",2004,148,1,0,clause-final question particle,1
